"id","initialRate"
"1007","5729.72000000"
"1008","168.00000000"
"1009","301.44000000"
"1010","0.30811000"
"1011","76.29000000"
"1012","5227.47000000"
"1013","146.56000000"
"1014","0.27357000"
"1015","0.02901000"
"1016","0.05266200"
"1017","0.00005377"
"1018","0.01329100"
"1019","1.35000000"
"1020","0.00183954"
"1021","0.46703000"
"1022","2.80824000"
"1023","2.58872000"
"1024","0.00049042"
"1025","0.01753419"
"1026","0.00001174"
"1027","0.00000099"
"1028","0.00042351"
"1029","83.44000000"
"1030","0.02088000"
"1031","651930.00000000"
"1032","18308.00000000"
"1033","0.01044126"
"1034","0.00000181"
"1035","0.00006390"
"1036","0.00572000"
"1037","0.00028100"
"1038","0.06720000"
"1039","8.88000000"
"1040","0.00007214"
"1041","0.00912846"
"1042","0.00976900"
"1043","7.60000000"
"1044","5744.26000000"
"1045","157.05000000"
"1046","1.63750000"
"1047","4473.16000000"
"1048","6.49000000"
"1049","0.41494000"
"1050","117.43000000"
"1055","34.19000000"
"1056","326.86000000"
"1057","193.74000000"
"1058","131.33000000"
"1059","202.26000000"
"1060","1967.94000000"
"1061","1207.60000000"
"1062","246.00000000"
"1063","372.46000000"
"1064","157.40000000"
"1065","51.49000000"
"1066","160.51000000"
"1069","48.78000000"
"1070","19.55000000"
"1071","53.00000000"
"1072","8.68000000"
"1073","67.64000000"
"1074","185.85000000"
"1075","44.97000000"
"1076","98.51000000"
"1077","279.54000000"
"1078","14.73000000"
"1079","121.27000000"
"1080","0.00000000"
"1081","31.45000000"
"1082","66.00000000"
"1083","36.98000000"
"1084","9.39000000"
"1085","23.30000000"
"1086","9.50000000"
"1087","15.00000000"
"1092","0.00000134"
"1093","0.00001184"
"1094","0.45000000"
"1095","0.04630000"
"1096","0.03000000"
"1097","0.04500000"
"1098","0.30500000"
"1099","0.07200000"
"1100","0.09200000"
"1101","0.04300000"
"1102","0.00140000"
"1103","0.04100000"
"1104","0.00120000"
"1105","0.00580000"
"1106","0.02000000"
"1107","0.00270000"
"1108","0.00140000"
"1109","0.04300000"
"1110","0.00120000"
"1111","0.02500000"
"1112","0.07300000"
"1113","0.00400000"
"1114","0.03100000"
"1115","0.00810000"
"1116","0.01650000"
"1117","0.00970000"
"1118","0.00295000"
"1119","0.00580000"
"1120","0.00250000"
"1121","0.00360000"
"1122","1.00000000"
"1123","0.00263000"
"1124","0.00740000"
"1125","1.00000000"
"1126","1.00000000"
"1127","1.03000000"
